State,Generation,Disposal,No of HCF
Andaman & Nicobar ,407,407,-
Andhra Pradesh,14500,13018,173
Arunachal Pradesh,60,60,0
Assam,4595,2599,208
Bihar,3572,3095,1221
Chandigarh,1201,1201,32
Chhattisgarh ,5852,5701,20
Daman & Diu and Dadra & Nagar Haveli ,65,65,0
Delhi,9859,9859,165
Goa,2438,2438,1
Gujarat,16565,16565,224
Haryana,7069,6868,143
Himachal Pradesh,1278,1278#,15
Jharkhand ,5415,4763,192
J&K,4827,2634,332
Karnataka,62241,43971,344
Kerala,32884,29438,1547
Lakshadweep,40,40,-
Madhya Pradesh,65231,4713,510
Maharashtra,40197,40197,4667
Manipur,412,412,40
Meghalaya,578,578,0
Mizoram,631,560,0
Nagaland,0,0,0
Orissa,5089,3542,105
Puducherry,2394,2394,23
,,,
Punjab,6903,6903,170
Rajasthan,19591,11816,946
Sikkim,-,-,-
,,,
Tamilnadu,21418,21418,507
Tripura,553,Not assessed,Not assessed
Uttarakhand,1872,740,288
Uttar Pradesh,44392,42237,532
West Bengal,23571,12472,632
